# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	1092
#@/user_id	952a2cbd-9053-440b-94ce-ebe56d869986
ti zi 	梯子	c=2 d=1.93635 t=1092
tian jia 	添加	c=7 d=4.43259 t=1092
tian jia dao 	添加到	c=1 d=0.99005 t=1092
tian jia le 	添加了	c=2 d=1.86593 t=1092
tian jia ma 	添加吗	c=1 d=0.927743 t=1092
tian ti 	天梯	c=1 d=0.995012 t=1092
tiao 	条	c=1 d=0.980199 t=1092
tiao zheng 	调整	c=1 d=0.937067 t=1092
tong yi 	统一	c=1 d=0.927743 t=1092
tu 	图	c=1 d=1 t=1092
wan 	完	c=1 d=1.06627 t=1092
wan cheng 	完成	c=2 d=1.83244 t=1092
wan hou 	完后	c=0 d=0.0965605 t=1092
wan ou 	玩偶	c=0 d=0.0980199 t=1092
wan ou jie jie 	玩偶姐姐	c=1 d=0.985112 t=1092
wan quan 	完全	c=1 d=0.873716 t=1092
wang luo 	网络	c=1 d=1 t=1092
wang yi 	网易	c=2 d=1.9415 t=1092
wang yi yun 	网易云	c=3 d=2.34813 t=1092
wei 	为	c=2 d=1.41447 t=1092
wei chen 	微尘	c=1 d=0.99005 t=1092
wei hu 	维护	c=1 d=0.995012 t=1092
wei pei zhi 	未配置	c=1 d=0.965605 t=1092
wei sha 	为啥	c=1 d=0.932394 t=1092
wei shen me 	为什么	c=12 d=7.4449 t=1092
wei xin 	微信	c=7 d=5.29046 t=1092
wen dang 	文档	c=1 d=0.937067 t=1092
wen ding 	稳定	c=1 d=1 t=1092
wen jian 	文件	c=5 d=2.99036 t=1092
wen jian jia 	文件夹	c=1 d=0.960789 t=1092
wen jian ma 	文件吗	c=1 d=1 t=1092
wen ti 	问题	c=1 d=0.951229 t=1092
wo 	我	c=8 d=4.90115 t=1092
wo ba 	我把	c=0 d=0.0865022 t=1092
wo bu zhi dao 	我不知道	c=1 d=0.900325 t=1092
wo da 	我打	c=0 d=0.0960789 t=1092
wo da bu chu 	我打不出	c=1 d=0.965605 t=1092
wo de 	我的	c=14 d=6.53155 t=1092
wo fu zhi 	我复制	c=1 d=0.97531 t=1092
wo gei ni 	我给你	c=1 d=0.913931 t=1092
wo kan 	我看	c=0 d=0.0995012 t=1092
wo kan meng le 	我看懵了	c=1 d=1 t=1092
wo ling chen 	我凌晨	c=1 d=0.873716 t=1092
wo mei kan 	我没看	c=1 d=0.927743 t=1092
wo shi 	我是	c=2 d=1.82335 t=1092
wo xian zai 	我现在	c=2 d=1.60542 t=1092
wo xiang 	我想	c=1 d=0.856415 t=1092
wo xu 	我许	c=1 d=0.909373 t=1092
wo yao 	我要	c=10 d=5.80227 t=1092
wo ye 	我也	c=2 d=1.83409 t=1092
wo you 	我有	c=1 d=0.99005 t=1092
wo zai 	我在	c=1 d=0.951229 t=1092
wo zen me 	我怎么	c=2 d=1.79256 t=1092
wo zhi jie 	我直接	c=1 d=0.985112 t=1092
wu fa 	无法	c=5 d=3.76867 t=1092
wu fa shi yong 	无法使用	c=1 d=0.970446 t=1092
wu rao 	勿扰	c=1 d=0.985112 t=1092
xia 	下	c=8 d=4.45848 t=1092
xia de 	下的	c=1 d=0.955997 t=1092
xia mian 	下面	c=1 d=0.932394 t=1092
xian ka 	显卡	c=1 d=0.980199 t=1092
xian lian 	先练	c=1 d=0.891366 t=1092
xian shi 	显示	c=4 d=3.39083 t=1092
xian shi qi 	显示器	c=5 d=3.72843 t=1092
xian zai 	现在	c=3 d=2.23181 t=1092
xiang 	想	c=2 d=1.88544 t=1092
xiang tian jia 	想添加	c=1 d=0.985112 t=1092
xiang xi 	详细	c=2 d=1.63409 t=1092
xiang xia 	向下	c=0 d=0.0891366 t=1092
xiang xia mian 	向下面	c=1 d=0.895834 t=1092
xiang xiang 	想象	c=1 d=0.913931 t=1092
xiao gong ju 	小工具	c=1 d=0.965605 t=1092
xiao guo 	效果	c=1 d=0.951229 t=1092
xiao tiao zheng 	小调整	c=1 d=0.97531 t=1092
xie 	写	c=1 d=0.970446 t=1092
xie dai ma 	写代码	c=1 d=0.937067 t=1092
xie wan zuo ye 	写完作业	c=1 d=0.878095 t=1092
xin shou 	新手	c=1 d=0.960789 t=1092
xiu gai 	修改	c=1 d=0.99005 t=1092
xu yao 	需要	c=1 d=0.913931 t=1092
ya 	呀	c=2 d=1.7337 t=1092
yao 	要	c=9 d=5.7979 t=1092
yao pei zhi 	要配置	c=1 d=0.891366 t=1092
yao zen me 	要怎么	c=3 d=2.10698 t=1092
ye 	也	c=1 d=0.99005 t=1092
ye yao 	也要	c=1 d=0.970446 t=1092
ye you 	也有	c=1 d=0.856415 t=1092
yi dong 	移动	c=3 d=2.59608 t=1092
yi fen 	一份	c=1 d=0.878095 t=1092
yi ge 	一个	c=3 d=2.35901 t=1092
yi kuai 	一块	c=2 d=1.67485 t=1092
yi qi 	一起	c=1 d=0.873716 t=1092
yi si 	意思	c=22 d=10.1149 t=1092
yi xia 	一下	c=2 d=1.69058 t=1092
yi yang ma 	一样吗	c=1 d=0.900325 t=1092
yi zhang 	一张	c=1 d=0.97531 t=1092
ying yong 	应用	c=1 d=0.891366 t=1092
yong 	用	c=14 d=6.98734 t=1092
yong bu liao 	用不了	c=3 d=2.22038 t=1092
yong de 	用的	c=2 d=1.71364 t=1092
yong de shi 	用的是	c=1 d=0.946485 t=1092
yong hu 	用户	c=1 d=0.860708 t=1092
yong le 	用了	c=1 d=0.860708 t=1092
yong shang 	用上	c=1 d=0.985112 t=1092
you 	有	c=6 d=4.66362 t=1092
you 	由	c=1 d=0.737123 t=1092
you bian 	右边	c=1 d=0.856415 t=1092
you bu 	有不	c=1 d=0.97531 t=1092
you dian 	有点	c=1 d=0.927743 t=1092
you ge 	有个	c=1 d=0.955997 t=1092
you shen me 	有什么	c=1 d=0.951229 t=1092
you shi 	又是	c=1 d=0.882497 t=1092
you wen ti 	有问题	c=1 d=0.918512 t=1092
you xie 	有些	c=2 d=1.87423 t=1092
yu ji 	预计	c=1 d=0.955997 t=1092
yu ju 	语句	c=1 d=0.97531 t=1092
yu pei zhi 	预配置	c=1 d=1 t=1092
yuan bao 	元宝	c=3 d=2.29414 t=1092
yuan cheng 	远程	c=1 d=0.826959 t=1092
yuan ma 	源码	c=2 d=1.81293 t=1092
zai 	再	c=1 d=0.995012 t=1092
zai 	在	c=17 d=8.03302 t=1092
zai qi zhong 	在其中	c=1 d=0.900325 t=1092
zai zhe li 	在这里	c=1 d=0.839457 t=1092
zen 	怎	c=0 d=0.0985112 t=1092
zen lian er 	怎脸儿	c=1 d=0.99005 t=1092
zen me 	怎么	c=18 d=8.50783 t=1092
zen yang 	怎样	c=1 d=0.923116 t=1092
zeng ji 	增肌	c=1 d=0.918512 t=1092
zhang hui 	张辉	c=2 d=1.76152 t=1092
zhang zhang zhang 	涨涨涨	c=1 d=0.923116 t=1092
zhao 	找	c=1 d=0.951229 t=1092
zhe 	这	c=1 d=1.07569 t=1092
