# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	5607
#@/user_id	952a2cbd-9053-440b-94ce-ebe56d869986
ai 	唉	c=8 d=2.61297 t=5607
dei 	得	c=1 d=0.946485 t=5607
dei chong dao 	得冲到	c=1 d=0.744532 t=5607
deng 	等	c=1 d=0.923116 t=5607
deng 	邓	c=0 d=0.0900325 t=5607
deng hao 	等号	c=0 d=0.0618783 t=5607
deng lu 	登录	c=1 d=0.904837 t=5607
di 	地	c=0 d=0.0865022 t=5607
di dao 	地道	c=1 d=0.965605 t=5607
di dian 	地点	c=1 d=0.927743 t=5607
di mi 	低迷	c=1 d=0.822835 t=5607
di tie zhan 	地铁站	c=1 d=0.802519 t=5607
di tu 	地图	c=2 d=1.53082 t=5607
di wei 	地位	c=0 d=0.0210136 t=5607
di wu zhang 	第五章	c=1 d=0.918512 t=5607
di yan ye 	滴眼液	c=1 d=0.479505 t=5607
di yi 	第一	c=1 d=0.980199 t=5607
di yi xu lie 	第一序列	c=2 d=1.77772 t=5607
dian 	点	c=1 d=0.923113 t=5607
dian 	电	c=1 d=0.740818 t=5607
dian ba 	点吧	c=0 d=0.0806541 t=5607
dian chi de 	点吃的	c=1 d=0.810584 t=5607
dian cuo le 	点错了	c=1 d=0.752014 t=5607
dian dian 	点点	c=1 d=0.960789 t=5607
dian fei 	电费	c=1 d=0.810584 t=5607
dian hua 	电话	c=2 d=0.513482 t=5607
dian nao 	电脑	c=1 d=0.818755 t=5607
dian ying 	电影	c=1 d=0.532592 t=5607
dian ying yuan 	电影院	c=1 d=0.559898 t=5607
diao yong 	调用	c=3 d=2.60687 t=5607
ding 	订	c=1 d=0.860708 t=5607
ding li 	定理	c=1 d=0.998081 t=5607
ding shi 	定时	c=1 d=0.843665 t=5607
ding yi 	定义	c=1 d=0.97531 t=5607
ding yue 	订阅	c=5 d=4.35735 t=5607
diu 	丢	c=2 d=1.44061 t=5607
diu dao 	丢到	c=2 d=1.7214 t=5607
diu de 	丢的	c=1 d=0.715338 t=5607
diu jin qu 	丢进去	c=1 d=0.625002 t=5607
dong 	冻	c=1 d=0.924724 t=5607
dong dao ni 	冻到你	c=1 d=0.814647 t=5607
dong ma 	懂吗	c=0 d=0.0790571 t=5607
dong tian 	冬天	c=1 d=0.913931 t=5607
dong xi 	东西	c=6 d=2.09453 t=5607
dong zuo 	动作	c=1 d=0.40657 t=5607
dou 	抖	c=1 d=0.748264 t=5607
dou 	都	c=14 d=5.38327 t=5607
dou bu xing 	都不行	c=1 d=0.985112 t=5607
dou dou ni 	逗逗你	c=1 d=0.718924 t=5607
dou dui 	都对	c=0 d=0.0847894 t=5607
dou dui ma 	都对吗	c=1 d=0.852144 t=5607
dou guai wo 	都怪我	c=1 d=0.97531 t=5607
dou huan cheng 	都换成	c=1 d=0.980199 t=5607
dou kui le 	都亏了	c=1 d=0.594521 t=5607
dou mei you 	都没有	c=1 d=0.97531 t=5607
dou shi 	都是	c=1 d=0.860708 t=5607
dou shi ta de 	都是他的	c=1 d=0.932394 t=5607
dou shi zai 	都是在	c=1 d=0.941765 t=5607
dou yao 	都要	c=3 d=2.13869 t=5607
dou yong 	都用	c=2 d=1.75079 t=5607
dou zou 	都走	c=1 d=0.744532 t=5607
du 	读	c=1 d=0.99005 t=5607
du de 	读得	c=0 d=0.0946485 t=5607
du de shi 	读得是	c=1 d=0.951229 t=5607
du qu dao 	读取到	c=1 d=0.960789 t=5607
du shu le 	赌输了	c=1 d=0.960789 t=5607
du te 	独特	c=1 d=0.831104 t=5607
du xie 	读写	c=2 d=1.68836 t=5607
duan 	断	c=0 d=0.0980199 t=5607
duan kou 	端口	c=5 d=3.29264 t=5607
duan lian 	锻炼	c=1 d=1.05073 t=5607
duan lian le 	锻炼了	c=1 d=1 t=5607
duan wang 	断网	c=1 d=0.965605 t=5607
duan zan 	短暂	c=1 d=0.941765 t=5607
dui 	堆	c=1 d=0.900325 t=5607
dui 	对	c=8 d=2.94132 t=5607
dui bu qi 	对不起	c=5 d=2.14207 t=5607
dui bu shang 	对不上	c=1 d=0.985112 t=5607
dui dai 	对待	c=1 d=0.977009 t=5607
dui dai ni de 	对待你的	c=1 d=0.860708 t=5607
dui dui 	堆堆	c=2 d=1.25643 t=5607
dui dui wa 	堆堆袜	c=1 d=0.847894 t=5607
dui ming 	队名	c=1 d=0.690734 t=5607
dui qi 	对齐	c=1 d=0.985112 t=5607
dui she jiao 	对社交	c=1 d=0.826959 t=5607
dui wo 	对我	c=1 d=0.418952 t=5607
dui xiang 	对象	c=2 d=0.878095 t=5607
dui xiao yi yuan 	对校医院	c=1 d=0.814647 t=5607
dui ying 	对应	c=4 d=2.7808 t=5607
dui ying de 	对应的	c=3 d=2.191 t=5607
dui you 	队友	c=0 d=0.0900325 t=5607
dui you le 	队友了	c=1 d=0.904837 t=5607
dui yu 	对于	c=1 d=0.852144 t=5607
dui zhe 	对着	c=1 d=0.952951 t=5607
dui zhe yi xiang 	对着一项	c=1 d=0.802519 t=5607
duo 	多	c=2 d=1.90562 t=5607
duo cai 	多彩	c=1 d=0.843665 t=5607
duo de 	多的	c=2 d=1.37943 t=5607
duo de qian 	多的钱	c=1 d=0.615697 t=5607
duo duo 	多多	c=1 d=0.878095 t=5607
duo ge 	多个	c=4 d=3.0471 t=5607
duo kui 	多亏	c=0 d=0.0806541 t=5607
duo kui dian ba 	多亏点吧	c=1 d=0.810584 t=5607
duo shao 	多少	c=1 d=0.900325 t=5607
duo shi 	多时	c=1 d=0.496585 t=5607
duo xian shi qi 	多显示器	c=1 d=0.937067 t=5607
duo yu de 	多余的	c=1 d=0.932394 t=5607
e le 	饿了	c=2 d=1.78917 t=5607
e wai 	额外	c=1 d=0.960789 t=5607
e xin 	恶心	c=0 d=0.0519442 t=5607
ei 	欸	c=2 d=1.55649 t=5607
en 	嗯	c=4 d=1.57867 t=5607
er 	而	c=1 d=0.287941 t=5607
er bu shi 	而不是	c=2 d=1.76496 t=5607
er fen fa 	二分法	c=1 d=0.918512 t=5607
er ji 	耳机	c=2 d=1.01374 t=5607
er qie 	而且	c=4 d=2.3013 t=5607
er shi 	而是	c=1 d=0.995012 t=5607
er shou 	二手	c=1 d=0.995012 t=5607
er wei 	二维	c=2 d=0.771052 t=5607
fa 	发	c=1 d=0.514274 t=5607
fa 	法	c=1 d=0.869358 t=5607
fa qi 	发起	c=1 d=0.99005 t=5607
fa she 	发射	c=0 d=0.0873716 t=5607
fa she le 	发射了	c=1 d=0.878095 t=5607
fa sheng le shen me 	发生了什么	c=1 d=0.951229 t=5607
fa xian 	发现	c=4 d=2.57644 t=5607
fa yi bian 	发一遍	c=1 d=0.565525 t=5607
fan 	饭	c=1 d=0.856415 t=5607
fan dao 	反倒	c=1 d=0.759572 t=5607
fan hui 	返回	c=7 d=3.4139 t=5607
fan hui le 	返回了	c=1 d=0.946485 t=5607
fan si 	反思	c=1 d=0.767206 t=5607
fan yi 	翻译	c=4 d=2.23199 t=5607
fan zheng 	反正	c=1 d=0.878095 t=5607
fan zhong 	繁重	c=1 d=0.752014 t=5607
fang 	放	c=1 d=0.843665 t=5607
fang cheng 	方程	c=1 d=0.869358 t=5607
fang jian 	房间	c=1 d=0.546074 t=5607
